?.40  0
295.70  34.20  0
295.70  36.40  0
295.50  33.40  0
295.70  31.60  0
296.00  33.60  0
296.00  30.20  0
295.60  31.60  0
295.40  32.70  0
295.60  32.50  0
295.80  35.30  0
295.40  37.60  0
295.70  36.40  0
295.80  36.40  0
295.60  35.30  0
295.50  33.60  0
295.80  34.80  0
295.90  34.70  0
295.50  34.80  0
295.60  34.40  0
295.50  36.30  0
295.90  36.80  0
295.80  35.40  0
295.60  37.50  0
295.80  36.70  0
295.50  36.30  0
295.50  35.30  0
295.80  39.20  0
295.80  37.30  0
295.60  36.00  0
295.60  37.60  0
295.50  39.30  0
295.60  38.00  0
295.50  36.90  0
295.70  37.30  0
296.10  37.00  0
295.50  36.30  0
295.40  39.20  0
295.90  37.30  0
295.50  37.60  0
296.10  38.40  0
295.80  310.10  0
295.60  311.70  0
295.50  37.90  0
295.80  38.80  0
295.70  36.20  0
295.50  38.80  0
295.70  37.00  0
295.60  37.50  0
295.70  39.20  0

295.50  38.60  0
295.30  311.70  0
295.50  310.20  0
294.80  39.20  0
295.90  310.40  0
295.30  38.80  0
295.50  39.30  0
295.50  310.00  0
295.50  38.60  0
295.50  37.40  0
296.00  313.00  0
295.70  311.50  0
295.50  311.80  0
295.50  310.00  0
294.60  311.70  0
295.70  39.00  0
295.10  39.10  0
295.40  311.00  0
295.80  39.20  0
295.50  39.60  0
295.70  311.40  0
295.90  310.50  0
295.50  312.50  0
295.70  311.80  0
295.50  311.20  0
294.70  312.70  0
295.70  39.60  0
294.90  310.80  0
295.50  312.00  0
295.50  39.20  0
295.60  310.90  0
295.60  315.90  0
295.90  313.00  0
295.10  310.80  0
295.80  311.90  0
295.30  311.30  0
295.80  310.10  0
295.00  311.60  0
295.50  310.90  0
295.80  311.30  0
295.60  312.60  0
295.50  314.00  0
295.50  313.70  0
295.40  39.60  0
295.50  311.50  0
295.10  311.70  0
295.90  311.60  0
295.50  314.00  0
295.80  310.10  0
295.30  311.40  0
295.20  312.30  0
295.30  312.50  0
295.80  314.50  0
295.20  310.90  0
295.30  313.00  0
294.80  39.70  0
293.10  310.90  0
291.10  311.70  0
288.50  311.80  0
286.30  314.20  0
284.30  312.00  0
282.30  313.40  0
279.80  310.80  0
278.00  313.10  0

255.80  314.00  0
254.20  312.10  0
252.20  312.90  0
290.30  294.90  0
296.10  295.50  0
295.50  295.60  0
293.50  295.40  0
285.40  295.50  0
278.90  295.50  0
273.60  295.10  0
268.30  295.50  0
263.40  295.30  0
258.90  295.20  0
254.60  295.30  0
251.00  295.40  0
247.60  295.40  0
244.70  295.50  0
242.30  295.40  0
240.80  295.40  0
239.10  295.50  0
237.30  295.40  0
235.80  295.50  0
233.80  295.50  0
231.70  295.50  0
229.60  295.40  0
227.60  295.30  0
225.50  295.60  0
223.80  295.50  0
222.40  295.40  0
221.40  317.90  0
220.10  317.20  0
219.70  315.30  0
218.50  36.20  0
218.10  283.20  0
216.80  261.10  0
215.50  251.80  0
214.60  249.50  0
213.60  249.50  0
212.40  251.20  0
211.80  250.20  0
210.80  254.20  0
29.70  252.00  0
28.50  254.30  0
26.60  253.50  0
21.50  254.40  0
225.90  295.20  0
234.70  295.50  0
240.30  295.40  0
234.60  295.30  0
228.40  295.50  0
222.90  295.10  0
218.10  295.10  0
213.70  295.50  0
29.30  295.70  0
25.70  295.40  0
21.50  295.50  0
198.90  295.50  0
196.70  295.50  0
194.80  294.90  0
192.90  295.50  0
190.70  295.50  0
188.50  295.40  0
186.50  295.60  0
183.60  295.50  0

164.40  295.70  0
162.30  295.40  0
160.80  295.60  0
159.50  295.30  0
158.50  295.50  0
157.50  295.50  0
155.80  295.20  0
154.10  295.50  0
152.10  295.40  0
149.50  295.30  0
147.40  295.50  0
145.10  295.60  0
143.20  295.60  0
142.10  295.30  0
141.50  295.50  0
140.10  295.50  0
138.70  295.50  0
137.20  295.70  0
134.90  295.00  0
132.20  295.50  0
130.40  295.60  0
128.60  295.50  0
126.60  295.50  0
125.80  295.20  0
125.20  295.30  0
123.70  295.40  0
122.70  295.60  0
121.30  295.10  0
118.10  295.50  0
116.40  295.10  0
114.40  295.20  0
112.50  295.70  0
110.60  295.30  0
110.10  295.30  0
18.70  295.50  0
18.10  295.20  0
16.70  295.50  0
15.10  295.60  0
12.70  295.50  0
